	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S6	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S7	S70	S72	S8	S9
ASV_89	0	0	0	0	70	84	158	0	0	0	259	0	361	280	111	59	136	16	31	13	18	8	0	16	0	0	186	133	142	10	61	74	0	1779	0	3	142	85	68	2	1	2	5	0	1985	1	0	0	0	0	0	0	0	0	0	3473	17	31	22	0	0	0	0	0	0	0	2	0	1	1	0
ASV_90	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9749	0	0
ASV_91	112	587	797	963	0	1	0	4	2	3	285	101	284	324	293	396	628	1	1	3	199	282	44	167	0	0	624	701	541	47	142	124	8	22	1	10	731	327	442	81	75	115	34	0	26	34	0	0	0	0	0	1	4	0	3	46	35	32	26	0	0	1	0	0	0	0	8	0	0	7	0
ASV_92	1575	7	11	1	4	2	4	0	0	0	8	1930	8	2	15	13	24	0	2	0	0	0	1495	1	0	0	0	0	0	0	1	1	0	19	0	0	2	5	5	10	9	5	1	0	8	0	1357	1447	1389	76	49	107	53	26	28	15	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3
ASV_93	109	1112	1154	1909	10	14	19	51	21	30	67	151	79	71	121	145	155	83	73	93	62	119	78	63	0	0	34	43	45	3	11	5	157	110	131	174	152	124	147	53	71	73	18	0	163	14	16	18	5	3	4	2	5	1	0	188	7	0	8	0	0	2	0	0	0	0	970	0	0	344	776
ASV_94	36	4	4	10	12	17	27	35	18	24	106	51	126	187	582	486	735	2	1	3	539	514	7	456	0	0	247	171	217	79	223	227	67	250	63	50	657	539	551	209	214	249	46	0	287	41	5	6	9	1	2	4	44	38	57	519	187	145	195	0	0	3	0	0	0	0	6	0	0	6	1
ASV_95	0	23	24	11	0	2	4	0	0	2	293	5	268	290	309	310	552	4	1	4	91	137	0	106	0	0	293	247	242	4	4	3	1614	0	1192	1666	254	152	161	9	6	9	146	0	0	101	1	0	1	1	1	6	0	1	1	3	110	112	152	0	0	95	0	0	0	0	191	108	0	49	171
ASV_96	8	60	51	103	0	1	0	0	1	9	52	1	53	59	448	584	574	3	1	1	3	1	1	1	0	0	11	2	4	9	18	19	15	10	27	21	1335	778	915	179	142	191	28	0	40	21	802	871	845	116	107	166	0	0	0	66	107	84	103	0	0	1	0	0	0	0	207	0	0	46	146
ASV_97	0	93	121	174	27	29	55	39	25	24	72	0	88	88	47	63	67	11	7	6	173	216	0	149	0	0	11	4	7	11	31	54	109	91	108	107	279	175	203	188	156	187	198	0	105	131	0	1	0	1	2	9	1	0	1	176	108	176	131	0	0	4	0	0	0	0	2467	0	0	821	1745
ASV_98	0	0	0	1	63	55	104	0	0	0	0	0	1	0	0	1	0	35	25	41	490	639	0	361	0	0	156	219	149	6	8	13	231	0	221	251	1211	677	838	1138	1034	1254	2	0	0	2	0	0	0	1	0	1	0	0	0	0	1	2	1	0	0	7	0	0	0	0	1	72	0	0	1
ASV_99	0	0	0	0	0	0	1	451	205	320	0	0	0	0	0	0	1	8	3	10	585	761	1	429	0	0	1143	1065	878	1	0	1	0	725	0	1	2	1	1	2	0	0	221	0	778	139	0	1	0	0	0	0	5	9	16	1539	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_100	0	0	0	0	1	6	3	5	5	0	99	0	114	92	32	33	29	28	24	12	110	172	0	103	0	0	203	226	179	14	52	72	33	64	36	48	77	40	61	2358	2024	2145	29	0	66	16	0	5	0	0	0	0	0	0	0	121	18	19	25	0	0	0	0	0	0	0	65	0	0	24	62
ASV_101	8	5	5	37	9	12	18	156	78	92	21	20	21	28	98	78	104	110	78	81	1037	1477	28	1043	0	0	41	38	26	47	89	156	52	41	50	78	407	254	254	506	532	576	281	0	53	171	2	2	9	2	3	5	14	10	6	102	154	123	158	0	0	1	0	0	0	0	21	0	0	12	15
ASV_102	3	140	191	328	19	32	33	74	47	55	14	26	9	34	333	332	391	141	116	108	126	165	2	120	0	0	393	358	288	5	36	25	834	74	694	944	369	273	234	15	25	31	191	0	61	107	0	0	0	5	4	6	1	4	1	191	140	145	200	0	0	68	0	0	0	0	128	0	0	45	86
ASV_103	0	2132	2464	2966	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1219	0	0
ASV_104	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2075	2140	3179	7	7	11	0	0	0	0	0	0	106	77	67	0	0	1	0	0	1	0	48	32	35	7	10	5	18	0	0	12	0	0	1	0	1	0	0	0	0	0	292	257	331	0	0	0	0	0	0	0	0	0	0	0	1
ASV_105	0	70	64	149	24	33	59	87	51	72	0	0	0	0	1	0	0	24	16	23	4	11	0	3	0	0	0	0	0	0	0	1	47	2170	41	35	1	0	0	0	0	0	3	0	2311	5	0	1	0	0	0	0	0	0	1	3315	0	0	0	0	0	6	0	0	0	0	24	0	0	10	30
ASV_106	9	116	76	162	22	37	50	9	4	3	0	10	2	3	225	139	266	169	104	107	31	10	11	13	0	0	0	1	0	6	11	8	2	1	8	6	149	166	120	557	566	657	155	0	0	98	1065	1440	1076	2	10	7	133	100	103	0	169	135	224	0	0	0	0	0	0	0	43	0	0	4	23
ASV_107	267	0	0	0	21	21	32	2727	1266	2003	1	350	2	0	0	0	0	4	15	15	374	527	189	295	0	0	0	2	0	0	0	0	1	0	1	2	23	4	10	2	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	50	0	0	14	26
ASV_108	0	42	43	33	2	2	8	0	1	0	269	0	283	310	347	312	476	356	275	409	7	12	1	1	0	0	11	21	8	114	354	322	1287	0	1092	1470	48	46	18	34	35	43	8	0	0	4	6	12	5	5	9	11	0	0	5	0	7	10	11	0	0	45	0	0	0	0	4	0	0	1	0
ASV_109	1361	3	0	0	175	202	268	261	147	215	0	1231	0	1	6	2	2	178	137	156	0	0	1164	0	0	0	0	0	0	0	0	0	13	704	11	19	0	0	1	0	1	2	0	0	698	0	0	1	0	0	2	2	3	0	0	1225	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_110	0	40	27	55	0	0	0	5	0	2	352	0	430	470	495	531	753	0	0	0	1	0	0	1	0	0	709	783	603	9	28	37	2	0	0	0	1129	721	803	31	37	33	30	0	1	20	2	2	1	0	0	0	0	3	0	5	8	7	8	0	0	0	0	0	0	0	5	0	0	0	3
ASV_111	0	0	0	0	29	34	44	185	126	137	0	0	0	0	3	5	4	31	41	36	462	597	0	488	0	0	141	129	93	0	0	1	120	18	99	110	1612	1012	1133	243	165	218	7	0	21	1	0	0	1	0	0	1	0	0	3	31	180	174	168	0	0	11	0	0	0	0	90	0	0	8	74
ASV_112	0	0	0	0	40	56	61	21	19	10	61	0	51	60	18	16	31	2	4	5	40	51	0	22	0	0	2	1	0	0	1	0	3	66	3	5	242	156	177	162	125	164	28	0	54	12	0	0	0	6	5	5	0	1	0	147	1	0	0	0	0	0	0	0	0	0	2920	0	0	959	2158
ASV_113	3	4	6	8	0	1	0	33	18	28	7	10	19	25	416	367	473	4	1	2	134	219	10	179	0	0	4	0	1	38	110	98	66	15	26	63	1571	958	1015	130	128	160	221	0	21	168	88	122	108	38	21	42	177	92	133	56	92	86	86	0	0	8	0	0	0	0	8	0	0	3	8
ASV_114	0	3	7	7	0	0	0	50	21	31	31	7	26	58	31	44	23	35	30	40	915	1281	0	772	0	0	10	3	15	0	1	0	73	46	77	112	1521	971	1006	20	11	21	115	0	61	57	5	5	2	10	2	12	13	1	3	102	34	51	53	0	0	2	0	0	0	0	32	0	0	15	22
ASV_115	2	27	28	58	0	0	0	0	0	1	485	0	492	606	618	691	1008	0	0	0	16	13	0	15	0	0	468	535	452	170	410	480	13	8	5	5	75	38	55	19	13	4	11	0	21	6	22	21	30	15	16	29	330	242	284	28	2	14	1	0	0	0	0	0	0	0	2	0	2	1	0
ASV_116	31	57	51	100	21	17	19	2	0	0	0	29	0	0	1	0	0	79	46	76	0	0	20	1	0	0	2	0	0	1	1	3	215	8	150	171	3	0	0	6	6	1	0	0	8	0	2	3	3	1875	1614	2910	0	1	4	23	0	3	0	0	0	12	0	0	0	0	1	0	0	0	2
ASV_117	0	0	2	7	0	1	0	29	9	19	21	8	50	39	207	270	302	0	0	1	16	23	6	6	0	0	131	112	117	10	9	10	2	47	1	5	276	172	185	1648	1596	1876	24	0	57	11	0	0	0	0	0	0	0	0	0	71	29	20	35	0	0	0	0	0	1	0	0	0	0	0	0
ASV_118	0	1	0	0	152	162	215	386	213	294	0	0	1	0	3	0	2	714	584	728	23	38	0	14	0	0	3	3	2	0	2	0	1362	0	1021	1350	2	3	3	2	2	0	3	0	0	0	0	1	0	5	9	9	0	0	0	1	3	3	2	0	0	88	0	0	0	0	22	0	0	1	8
ASV_119	12	29	41	34	3	2	7	70	41	49	108	13	87	101	900	903	1415	1	0	5	107	123	11	94	0	0	13	2	15	18	80	107	37	216	33	44	302	209	177	138	122	133	250	0	240	121	36	51	43	4	0	0	0	0	0	364	120	91	125	0	0	2	0	0	0	0	0	0	2	0	0
ASV_120	3	34	23	10	0	0	4	10	16	6	208	3	281	309	328	353	540	1	1	0	64	66	0	53	0	0	435	435	376	39	143	107	4	93	3	7	885	564	641	144	172	184	26	0	113	9	25	24	36	0	2	2	3	0	0	211	60	47	67	0	0	0	0	0	0	0	14	0	1	5	8
ASV_121	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	959	2758	2753	0	0	1	0	273	199	204	0	5	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_122	10	30	37	29	2	1	1	22	14	15	59	25	46	45	201	135	262	7	9	5	197	288	10	174	0	0	431	576	344	24	69	47	2	39	5	6	649	319	430	710	666	859	31	0	51	14	0	0	0	0	1	0	3	0	0	76	40	22	56	0	0	4	0	0	0	0	7	0	0	0	6
ASV_123	134	498	587	753	30	44	102	20	19	17	8	202	6	9	53	72	104	45	49	58	715	1049	147	548	0	0	1	4	1	15	26	34	77	258	53	59	31	18	22	3	3	5	16	0	328	16	0	1	1	0	1	4	0	0	0	620	8	11	12	0	0	1	0	0	0	0	72	0	0	18	54
ASV_124	0	0	0	0	1	0	0	1	1	0	1383	0	1830	1890	0	0	0	44	37	46	98	146	0	87	0	0	351	299	330	0	0	0	0	0	0	0	0	0	0	174	115	172	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_125	0	1	3	1	0	1	0	4	2	7	131	0	166	217	468	494	562	1	0	0	1	3	0	6	0	0	955	1064	813	0	0	0	11	26	10	14	319	137	198	312	291	319	106	0	15	59	0	1	2	0	0	0	0	0	0	62	17	28	38	0	0	1	0	0	0	0	28	0	0	10	8
ASV_126	0	0	0	1	273	367	533	37	29	43	1	1	0	0	0	1	0	218	191	175	14	18	0	16	0	0	1	0	0	0	8	5	405	778	370	516	86	61	58	1	1	0	1	0	1021	0	1	0	0	1	7	2	0	4	0	1370	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
ASV_127	25	1	0	0	2	0	2	0	0	1	0	15	1	0	0	0	0	2	1	0	1843	2767	26	1886	0	0	0	2	0	0	2	1	1	1	0	0	0	1	0	2	0	2	0	0	7	1	1	1	1	0	0	1	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	297	1068	1117	1751	0	0	0	0	0	0	35	372	37	34	110	110	140	0	1	1	0	0	299	2	0	0	266	203	192	76	195	203	0	0	2	5	7	9	2	2	8	7	0	0	0	0	10	14	6	1	1	3	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_129	0	0	0	0	1145	1272	1883	4	1	6	1	8	0	5	0	8	0	10	8	7	48	91	9	40	0	0	3	7	3	26	44	49	508	2	508	611	1	4	2	10	14	11	2	0	4	1	0	0	1	2	2	5	43	40	32	9	1	0	0	0	0	27	0	0	0	0	0	0	2	1	0
ASV_130	0	0	0	0	1	0	1	463	200	383	0	0	0	0	269	237	408	14	4	1	275	379	0	260	0	0	129	133	90	135	508	480	79	0	77	69	504	268	329	72	92	75	130	0	0	105	0	0	0	6	0	4	42	18	25	0	62	69	79	0	0	2	0	0	0	0	12	0	0	4	6
ASV_131	0	0	0	0	1	2	5	171	79	110	169	0	228	214	171	224	272	11	6	6	228	271	0	175	0	0	290	256	228	74	219	181	30	51	36	61	489	323	414	176	154	184	193	0	53	136	2	0	0	1	0	0	19	13	8	107	122	103	156	0	0	2	0	0	0	0	30	0	0	9	11
ASV_132	5	11	36	27	0	0	0	17	16	16	476	9	529	585	401	505	638	0	5	3	38	48	1	33	0	0	219	246	206	129	290	277	8	10	4	9	388	224	251	90	85	88	120	0	14	76	7	1	0	0	2	1	5	0	3	42	78	76	89	0	0	2	0	0	0	0	22	0	0	5	5
ASV_133	233	330	381	502	6	8	12	0	0	0	87	218	73	107	77	79	119	20	3	3	30	36	186	34	0	0	221	286	196	161	489	512	147	2	130	218	534	341	351	57	66	79	54	0	3	56	0	0	1	0	0	0	0	1	0	2	2	0	4	0	0	8	0	0	0	0	1	0	0	0	1
ASV_134	0	0	0	0	0	0	0	619	350	467	0	0	0	0	1	0	0	405	374	464	4	9	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	2	3	2	23	0	0	3	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1610	0	0	478	1513
ASV_135	17	608	584	847	55	57	79	12	6	4	1	17	0	0	1	0	0	635	420	639	2	4	4	1	0	0	22	30	14	4	19	17	705	2	636	756	37	19	24	0	2	0	0	0	0	0	0	0	0	0	2	4	0	0	0	8	2	0	0	0	0	39	0	0	0	0	1	0	1	0	0
ASV_136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6331	0	0
ASV_137	0	12	24	22	2	1	0	55	11	28	284	1	333	375	405	381	559	23	14	22	401	589	1	345	0	0	78	52	39	98	244	217	35	17	31	74	172	83	136	81	77	57	68	0	29	45	4	8	8	75	63	139	20	12	10	75	34	29	28	0	0	2	0	0	122	0	28	0	1	7	17
ASV_138	0	0	0	0	1574	1940	2580	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_139	13	9	21	8	2	1	0	15	7	11	7	20	11	7	8	6	2	10	3	7	31	50	11	48	0	0	0	0	2	40	102	84	20	12	14	25	25	12	16	46	43	43	6	0	8	3	32	49	58	1371	1186	2141	0	0	0	52	120	104	133	0	0	3	0	0	0	0	1	0	0	2	5
ASV_140	0	0	0	0	11	8	3	25	18	24	11	0	11	17	27	35	36	14	10	5	110	220	0	131	0	0	190	198	181	4	10	9	15	120	16	18	105	83	85	1272	1246	1406	7	0	85	4	0	0	0	0	0	1	10	7	10	147	20	24	16	0	0	1	0	0	0	0	28	0	0	9	20
ASV_141	371	0	0	0	262	388	465	733	382	488	50	489	44	72	0	0	0	0	4	0	0	0	307	0	0	0	1	0	0	0	0	1	2	0	2	0	729	459	502	29	25	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	74	0	0	23	43
ASV_142	251	147	154	282	65	84	107	27	38	22	18	257	16	15	36	38	101	292	215	313	197	242	279	168	0	0	10	10	7	47	169	148	182	228	146	206	77	57	62	43	44	52	105	0	262	71	0	0	1	0	2	0	0	0	0	495	13	14	24	0	0	5	0	0	0	0	52	0	0	9	12
ASV_143	0	0	0	0	0	0	0	17	18	26	28	0	51	54	399	569	644	20	17	22	41	62	0	31	0	0	26	39	28	7	14	12	62	16	69	73	381	254	261	212	233	205	221	0	34	122	0	0	0	9	8	9	21	23	22	54	423	456	520	0	0	3	0	0	0	0	35	0	0	12	34
ASV_144	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1534	1842	2446	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0
ASV_145	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	364	335	333	268	775	832	0	0	0	0	1260	787	877	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_146	0	6	9	14	0	7	8	4	0	0	0	0	0	0	0	0	0	1868	1409	2042	0	0	0	0	0	0	0	0	0	0	0	0	120	0	88	157	30	22	16	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0
ASV_147	5	139	111	149	89	75	138	31	6	28	278	1	383	474	32	25	33	70	57	70	257	365	4	241	0	0	25	24	33	75	132	174	222	245	182	206	188	105	124	14	16	23	8	0	276	10	0	0	0	1	1	2	0	0	0	515	0	3	0	0	0	21	0	0	0	0	7	0	0	0	3
ASV_148	0	1	0	0	0	0	0	1998	1053	1448	2	0	0	0	0	1	1	0	0	0	182	284	0	176	0	0	0	0	1	0	5	2	45	0	40	62	170	79	96	0	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0
ASV_149	82	674	644	1130	0	0	0	1	4	10	100	90	125	118	212	173	301	9	6	4	0	0	51	0	0	0	82	70	72	24	52	51	8	33	5	8	445	281	308	21	17	18	35	0	43	18	1	0	0	0	0	0	0	3	0	79	66	72	83	0	0	0	0	0	0	0	12	0	0	5	4
ASV_150	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	758	2414	2395	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_151	0	0	0	0	7	12	7	14	2	4	0	0	0	1	0	0	0	0	0	0	1296	1858	0	1244	0	0	11	10	3	6	19	13	0	0	0	0	31	18	14	175	175	197	1	0	9	5	0	0	0	2	0	0	82	63	64	16	70	51	53	0	0	0	0	0	0	0	3	0	0	2	1
ASV_152	14	91	107	105	1	0	0	51	20	50	125	9	110	105	941	709	1068	8	17	2	54	75	18	45	0	0	8	13	8	26	97	75	33	83	20	20	215	183	164	9	8	22	51	0	66	39	52	66	65	12	8	7	87	63	51	93	51	48	43	0	0	0	0	0	0	0	8	0	0	3	9
ASV_153	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1476	1594	2391	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	55	0	0	0	0	0	0
ASV_154	0	0	0	0	0	0	1	0	0	1	2	0	0	3	716	747	1057	0	0	0	48	94	0	69	0	0	10	17	14	72	196	200	0	455	0	0	173	115	120	2	0	0	28	0	434	20	0	0	1	1	0	0	8	1	7	861	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	0	0	0	0	0	2	0	24	22	27	47	0	33	48	312	306	406	0	0	0	0	0	0	0	0	0	425	416	331	8	13	11	0	2	0	0	910	540	652	251	285	347	0	0	7	0	0	0	2	0	0	0	0	0	0	16	1	2	0	0	0	0	0	0	0	0	5	0	0	4	5
ASV_156	0	264	240	381	2	0	1	36	9	15	84	0	80	116	167	207	279	5	3	9	155	215	0	175	0	0	112	90	91	32	93	104	3	51	4	5	696	458	544	48	32	33	66	0	78	50	0	0	2	0	0	0	0	0	0	107	60	51	64	0	0	0	0	0	0	0	63	0	0	12	41
ASV_157	0	60	81	60	38	35	34	35	14	54	0	0	0	1	1	1	5	19	7	24	3	6	0	7	0	0	0	0	0	0	0	0	20	1446	45	42	2	0	0	0	0	0	1	0	1264	4	0	0	0	2	0	0	1	0	0	2031	0	0	0	0	0	7	0	0	0	0	3	0	0	1	0
ASV_158	135	50	47	87	1	0	0	372	215	263	7	200	5	10	207	198	309	29	44	43	41	58	137	37	0	0	5	11	10	50	119	92	245	32	200	173	48	37	37	0	0	4	54	0	27	29	49	61	65	76	87	122	490	349	335	43	0	0	0	0	0	7	0	0	0	0	1	0	0	0	0
ASV_159	0	0	6	0	0	0	2	8	3	1	147	0	152	168	4	1	6	0	1	0	311	435	0	255	0	0	560	592	473	0	2	2	0	3	0	4	794	468	610	40	21	28	0	0	3	0	0	0	0	0	0	0	1	1	3	5	34	34	35	0	0	0	0	0	0	0	23	0	0	20	25
ASV_160	1	0	0	1	0	0	2	34	17	13	0	6	0	0	38	59	88	4	0	0	1343	1931	13	1218	0	0	7	0	1	2	8	5	13	63	14	14	76	45	53	3	1	10	8	0	35	1	0	1	0	0	0	0	0	0	0	71	20	17	22	0	0	3	0	0	0	0	15	0	0	0	4
ASV_161	899	0	0	0	2	24	17	60	32	36	0	1110	0	0	3	4	0	22	18	14	1	2	1195	0	0	0	0	0	0	0	0	0	1	474	0	0	2	0	0	0	1	0	0	0	520	0	0	0	0	4	5	5	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_162	0	120	157	154	1	0	1	0	0	0	95	0	127	196	334	349	490	0	0	0	1	0	0	0	0	0	568	578	470	107	272	280	2	0	0	0	305	163	177	16	17	6	42	0	0	26	0	0	0	1	0	0	71	47	33	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	1
ASV_163	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	1	0	0	0	0	1	0	0	775	2095	2240	29	0	16	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_164	101	387	440	455	37	47	80	95	49	48	1	66	4	0	13	15	10	106	85	128	136	185	87	102	0	0	0	0	0	0	4	2	85	169	68	92	139	87	77	21	18	18	8	0	184	7	5	6	2	65	57	103	389	230	248	315	5	11	4	0	0	6	0	0	0	0	46	0	0	17	17
ASV_165	316	39	27	35	26	32	36	19	25	12	0	389	0	1	4	36	21	10	1	6	166	233	284	129	0	0	0	1	0	2	5	8	405	144	325	423	146	92	137	170	159	211	23	0	173	8	0	2	0	2	2	4	0	0	0	348	0	0	0	0	0	19	0	0	0	0	265	0	0	69	157
ASV_166	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	9	3	137	0	116	143	1051	756	778	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	637	678	736	0	0	3	0	0	0	0	13	0	0	3	1
ASV_167	0	214	238	365	314	341	471	1	0	1	256	0	249	345	1	1	1	59	59	73	106	132	0	86	0	0	0	1	0	0	0	0	231	82	206	246	42	39	31	90	95	117	19	0	97	11	8	0	0	1	2	0	0	3	0	114	49	44	84	0	0	13	0	0	127	0	0	0	0	0	0
ASV_168	0	0	0	0	1	0	1	66	47	48	44	0	68	79	0	0	0	38	25	33	46	36	0	35	0	0	604	513	542	0	0	0	25	0	21	31	173	88	117	444	362	399	10	0	0	12	0	0	0	0	0	0	1	1	0	0	14	18	22	0	0	3	0	0	0	0	487	0	0	175	431
ASV_169	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	337	319	275	195	672	719	0	0	0	0	1093	702	741	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_170	1108	122	89	199	17	19	28	79	27	53	0	1427	0	0	0	0	0	127	128	131	11	4	1186	4	0	0	0	1	0	0	0	0	1	26	0	0	48	25	28	3	1	0	1	0	26	0	0	0	0	0	0	0	0	0	0	78	4	5	8	0	0	0	0	0	0	0	3	0	0	0	4
ASV_171	1	113	159	167	64	66	121	0	0	0	3	0	2	4	28	34	18	808	594	762	0	0	3	0	0	0	0	0	0	1	0	0	630	0	589	771	0	1	2	0	1	0	0	0	1	0	4	2	1	6	14	11	0	0	1	0	1	3	4	0	0	16	0	0	0	0	0	0	0	0	0
ASV_172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1771	1343	1718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_173	8	0	0	1	0	0	0	0	0	0	15	0	23	12	982	1034	1448	0	0	1	0	3	2	3	0	0	119	124	86	5	2	1	53	0	37	61	136	83	100	2	3	1	2	0	0	2	14	17	19	41	41	106	84	86	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_174	0	95	76	144	0	0	0	30	17	21	4	7	1	6	12	24	29	7	11	4	337	434	2	328	0	0	44	35	25	0	2	0	622	66	425	712	390	246	251	14	36	30	77	0	44	46	0	0	0	0	0	0	0	0	0	98	5	2	4	0	0	42	0	0	0	0	3	0	0	0	4
ASV_175	0	23	16	87	0	0	3	0	1	0	23	0	23	42	318	345	514	2	3	0	21	31	0	24	0	0	460	421	388	0	8	6	190	6	162	178	133	74	76	64	62	95	184	0	0	108	0	0	0	0	2	0	0	0	0	6	231	182	226	0	0	15	0	0	0	0	24	0	0	7	28
ASV_176	0	23	16	60	0	0	0	1	1	0	11	0	5	9	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	31	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1302	1542	1277	1	10	3	119	93	90	0	8	13	9	0	0	0	0	0	0	0	0	0	0	0	1
ASV_177	9	26	32	33	0	2	1	28	5	6	40	3	46	22	12	45	46	0	0	2	13	18	2	25	0	0	38	30	34	66	154	208	1	25	8	10	118	83	71	20	27	22	8	0	31	4	91	127	110	832	708	1269	4	4	1	30	17	23	17	0	0	2	0	0	0	0	1	0	0	1	3
ASV_178	0	0	0	0	0	0	1	0	1	0	3	0	1	1	0	0	0	1	3	4	1	1	0	0	0	0	91	80	76	0	1	0	0	0	0	0	1637	1111	1141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	251	0	0	66	142
ASV_179	17	48	25	57	18	24	51	9	5	8	149	9	156	203	347	192	463	4	4	3	132	127	0	84	0	0	18	4	4	38	114	118	74	178	58	66	125	88	86	100	129	141	51	0	242	33	34	52	36	0	1	2	5	5	2	340	81	62	78	0	0	3	0	0	0	78	16	0	0	3	9
ASV_180	0	0	0	0	1193	1414	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
